,city,stadium
0,"Los Angeles, CA 90015","[-118.26719093124382, 34.043084694520346]"
1,"Tujunga, CA 91040","[-118.29897786502363, 34.262854250541324]"
2,"Los Angeles, CA","[-118.26695182852772, 34.043281733980876]"
3,"Los Angeles, CA 90015","[-118.26746571534997, 34.04319147850755]"
4,"Los Angeles, CA 90095","[-118.44482335324683, 34.07097798709694]"
5,"Los Angeles, CA 90015","[-118.26706602573294, 34.04386027528305]"
6,"Los Angeles, CA","[-118.266005, 34.043385]"
7,"Los Angeles, CA","[-118.267233, 34.043146]"
8,"Los Angeles, CA 90015","[-118.26780830570591, 34.04634112065366]"
9,"Los Angeles, CA","[-118.27895, 34.021404]"
