,city,dog_hairdresser
0,"Pasadena, CA 91105","[-118.148375, 34.1446723]"
1,"Los Angeles, CA 90026","[-118.2597466610646, 34.07882717350257]"
2,"Burbank, CA 91505","[-118.34081228017457, 34.15075983229739]"
3,"Pasadena, CA 91106","[-118.12150556927679, 34.14790768106961]"
4,"North Hollywood, CA 91601","[-118.37236562800793, 34.16063603716144]"
5,"Alhambra, CA 91801","[-118.12263965952457, 34.09693421555505]"
6,"Los Angeles, CA 90026","[-118.26495103563853, 34.0921468017432]"
7,"Los Angeles, CA 90046","[-118.36161923592859, 34.08613740267289]"
8,"Los Angeles, CA 90046","[-118.35407913523942, 34.10346028857436]"
9,"Los Angeles, CA 90046","[-118.38059951796957, 34.1217185682881]"
10,"Los Angeles, CA 90015","[-118.26068052552063, 34.03022443671496]"
11,"Bell Gardens, CA 90201","[-118.16523600000001, 33.962619000000004]"
12,"Los Angeles, CA","[-118.2539842396774, 34.075442054542464]"
13,"Los Angeles, CA 90036","[-118.36061955556207, 34.07242900466796]"
14,"Los Angeles, CA 90036","[-118.35186618123767, 34.062473966749685]"
15,"Pasadena, CA 91105","[-118.15115423634704, 34.145429215311495]"
16,"Los Angeles, CA 90042","[-118.18534319238557, 34.107449591731246]"
17,"Los Angeles, CA 90019","[-118.3481203325024, 34.04772886569136]"
18,"Los Angeles, CA 90012","[-118.24505310506113, 34.051512703358526]"
19,"Los Angeles, CA 90013","[-118.23444001059046, 34.04290018704552]"
20,"Los Angeles, CA 90047","[-118.300824, 33.97441]"
21,"Glendale, CA 91210","[-118.259297, 34.144963]"
22,"Los Angeles, CA 90027","[-118.2869221569405, 34.15533276333426]"
23,"Los Angeles, CA 90012","[-118.24026185059148, 34.07315398353209]"
24,"Los Angeles, CA 90010","[-118.3087828558114, 34.061264915083164]"
25,"Los Angeles, CA 90012","[-118.23353290557861, 34.04807252663185]"
26,"Los Angeles, CA 90027","[-118.28711807727814, 34.106030483832356]"
27,"Los Angeles, CA 90008","[-118.33639723358756, 34.01076533494288]"
28,"Los Angeles, CA 90012","[-118.24483, 34.057446]"
29,"Los Angeles, CA 90019","[-118.3119795631694, 34.05396464232132]"
30,"Los Angeles, CA 90015","[-118.25121472409721, 34.046141139108286]"
31,"Los Angeles, CA 90012","[-118.24347127526671, 34.054554005902894]"
32,"Los Angeles, CA 90014","[-118.25412154197693, 34.04775250145901]"
33,"Hollywood, CA 90004","[-118.30936700105667, 34.0822371521209]"
34,California,"[-118.24552774428977, 34.06142592430016]"
35,California,"[-118.25337894731496, 34.047697643004284]"
36,"Los Angeles, CA","[-118.2369381603941, 34.04770638264404]"
37,"Los Angeles, CA 90013","[-118.24825286865234, 34.055219440766784]"
