,city,party_club
0,"Los Angeles, CA 90028","[-118.33495765278985, 34.101275021356834]"
1,"Los Angeles, CA 90014","[-118.25457241874592, 34.04768494041055]"
2,"Los Angeles, CA 90028","[-118.32850915573077, 34.10156574286022]"
3,"Los Angeles, CA 90012","[-118.23759107876778, 34.06515202118792]"
4,"Hollywood, CA 90028","[-118.33502304537807, 34.101108036056566]"
5,"Los Angeles, CA 90027","[-118.30035746097563, 34.11834210562594]"
6,"Los Angeles, CA 90028","[-118.32845125366478, 34.10132919716307]"
7,"Los Angeles, CA 90069","[-118.37094, 34.095892]"
8,"Los Angeles, CA 90071","[-118.25691, 34.05013]"
9,"Los Angeles, CA 90028","[-118.32719982776997, 34.10283194727546]"
10,"Los Angeles, CA 90028","[-118.32929867533643, 34.096941192887]"
11,"Los Angeles, CA 90026","[-118.27433655078825, 34.08387579514435]"
12,"Los Angeles, CA 90045","[-118.418719, 33.958753]"
