,city,starbuck
0,"Los Angeles, CA 90012","[-118.24024876785406, 34.05877990357595]"
1,"Los Angeles, CA 90036","[-118.3441787476043, 34.06711292093809]"
2,"Los Angeles, CA 90026","[-118.26489718236814, 34.07718627690432]"
3,"Hollywood, CA 90038","[-118.33882326225402, 34.086919406051926]"
4,"Los Angeles, CA 90017","[-118.25852634103549, 34.04816305210899]"
5,"Hollywood, CA 90028","[-118.32644, 34.097836]"
6,"Los Angeles, CA 90001","[-118.25717949241681, 33.987890381198014]"
7,"West Hollywood, CA 90069","[-118.37892674142309, 34.0881969421006]"
8,"Los Angeles, CA 90029","[-118.30950740953166, 34.09457417983483]"
9,"Los Angeles, CA 90063","[-118.18432515733691, 34.03360938000911]"
10,"Hollywood, CA 90028","[-118.3390354, 34.10277647]"
11,"Los Angeles, CA 90016","[-118.3347617, 34.01918236]"
12,"Los Angeles, CA 90012","[-118.24190789611599, 34.049518247264665]"
13,"Hollywood, CA 90028","[-118.3373131, 34.10174484]"
14,"West Hollywood, CA 90069","[-118.37212781813751, 34.0956814872199]"
15,"Los Angeles, CA 90041","[-118.2152874, 34.13905558]"
16,"Los Angeles, CA 90017","[-118.26327, 34.05208]"
17,"Los Angeles, CA 90023","[-118.22008811538008, 34.02472417575266]"
18,"Los Angeles, CA 90036","[-118.3389029, 34.06191641]"
19,"Los Angeles, CA 90068","[-118.34858541855395, 34.12962564638118]"
20,"Universal City, CA 91608","[-118.3551862763495, 34.138057318281085]"
21,"Los Angeles, CA 90017","[-118.2703, 34.05573]"
22,"Los Angeles, CA 90015","[-118.26139, 34.04549]"
23,"Los Angeles, CA 90017","[-118.26295614386467, 34.05429806381621]"
24,"Los Angeles, CA 90013","[-118.25196929660022, 34.048921194805835]"
25,"Los Angeles, CA 90027","[-118.291426, 34.101955]"
26,"Los Angeles, CA 90019","[-118.34403, 34.050983]"
27,"Los Angeles, CA 90015","[-118.260899, 34.03922068]"
28,"Los Angeles, CA 90007","[-118.27756478211272, 34.02639682033189]"
29,"Beverly Hills, CA 90211","[-118.37626049260716, 34.06353686172195]"
30,"Los Angeles, CA 90028","[-118.322503, 34.09739]"
31,"Los Angeles, CA 90015","[-118.26440895747392, 34.039097558153564]"
32,"Los Angeles, CA 90035","[-118.37618779232004, 34.046119639844505]"
33,"Los Angeles, CA 90028","[-118.3414809, 34.10186745]"
34,"Los Angeles, CA 90046","[-118.3651477, 34.09776518]"
35,"Los Angeles, CA 90041","[-118.2195835, 34.12363966]"
36,"Hollywood, CA 90028","[-118.31112384796143, 34.09826595695008]"
37,"Los Angeles, CA 90021","[-118.23966670769349, 34.025279443673114]"
38,"West Hollywood, CA 90048","[-118.38056604049817, 34.07510858900427]"
39,"Los Angeles, CA 90012","[-118.24789695677013, 34.05292207428664]"
40,"Los Angeles, CA 90026","[-118.264213, 34.064324]"
41,"Los Angeles, CA 90047","[-118.30798349933625, 33.959279928031734]"
42,"Los Angeles, CA","[-118.290511, 34.098568]"
43,"Los Angeles, CA 90035","[-118.38370736816371, 34.05487121949139]"
44,"Los Angeles, CA 90046","[-118.356174, 34.083489]"
45,"Los Angeles, CA 90015","[-118.260297, 34.042027000000004]"
46,"Los Angeles, CA 90057","[-118.27248, 34.062904]"
47,"Los Angeles, CA 90014","[-118.257188, 34.045167]"
48,"Los Angeles, CA 90071","[-118.2554422, 34.05151488]"
49,"Los Angeles, CA 90015","[-118.2628007083045, 34.04429811151557]"
