,city,vegan_food
0,"Los Angeles, CA 90004","[-118.3238069457162, 34.08293949353896]"
1,"Los Angeles, CA 90046","[-118.37021756510343, 34.08355377036199]"
2,"Los Angeles, CA 90039","[-118.2584507, 34.1028766]"
3,"Los Angeles, CA 90038","[-118.3276556046501, 34.0941055323146]"
4,"Los Angeles, CA 90048","[-118.3730298244673, 34.07623651196047]"
5,"Los Angeles, CA 90066","[-118.42323649325132, 33.99273834024122]"
6,"Los Angeles, CA 90042","[-118.19079256666211, 34.11052159515066]"
7,"Los Angeles, CA 90026","[-118.27938606579022, 34.09134178161039]"
8,"Los Angeles, CA 90039","[-118.26679692121121, 34.10781019565671]"
9,"Los Angeles, CA 90024","[-118.445983, 34.059988]"
10,"Venice, CA 90291","[-118.471664, 33.986639]"
11,"Santa Monica, CA 90401","[-118.49551767110819, 34.01697555133612]"
12,"Marina del Rey, CA 90292","[-118.43817498647348, 33.97912937306529]"
13,"Hollywood, CA 90028","[-118.3284406, 34.09782440000001]"
14,"Los Angeles, CA 90048","[-118.3650402, 34.0722028]"
15,"Venice, CA 90291","[-118.47381095450288, 33.998152665858285]"
16,"Los Angeles, CA 90034","[-118.41160947116556, 34.028582940943735]"
17,"West Hollywood, CA 90069","[-118.38697774974547, 34.0809714280427]"
18,"Los Angeles, CA 90019","[-118.32760077493121, 34.047713241983026]"
19,"Los Angeles, CA 90291","[-118.46921844736259, 33.99160767414249]"
20,"Reseda, CA 91335","[-118.53937646926977, 34.201287062414146]"
21,"Studio City, CA 91604","[-118.36649239027683, 34.13860151329137]"
22,"Marina del Rey, CA 90292","[-118.44236247546763, 33.98629547694807]"
23,"Los Angeles, CA 90049","[-118.4653214, 34.0538813]"
24,"Los Angeles, CA 90035","[-118.376926, 34.053305]"
25,"Culver City, CA 90232","[-118.39525433731808, 34.023312113218246]"
26,"Los Angeles, CA 90013","[-118.23855994475521, 34.04522649444418]"
27,"Culver City, CA 90232","[-118.3875665, 34.0273562]"
28,"Los Angeles, CA 90046","[-118.34491534158711, 34.08359702037952]"
29,"West Hollywood, CA 90069","[-118.3718728865745, 34.09080287785582]"
30,"West Hollywood, CA 90069","[-118.38143883871942, 34.08682627276333]"
31,"Culver City, CA 90230","[-118.41218139178056, 34.00640912972718]"
32,"Los Angeles, CA 90036","[-118.3608384, 34.0736849]"
33,"Los Angeles, CA 90066","[-118.42858320450063, 33.99695923018389]"
34,"Los Angeles, CA 90048","[-118.37494, 34.07294]"
35,"Los Angeles, CA 90013","[-118.23255871190399, 34.04562851412795]"
36,"Los Angeles, CA 90007","[-118.27847094407176, 34.01750201577576]"
37,"Los Angeles, CA 90039","[-118.25959711843008, 34.118982847921316]"
38,"Encino, CA 91436","[-118.4939233, 34.1573821]"
39,"Santa Monica, CA 90405","[-118.48025149037954, 34.009937062455705]"
40,"Los Angeles, CA 90026","[-118.25850979016774, 34.07715025130554]"
41,"Los Angeles, CA 91604","[-118.36155542095304, 34.1350658860204]"
42,"West Hollywood, CA 90069","[-118.37287868778176, 34.09074120878316]"
43,"Los Angeles, CA 90004","[-118.28427124023438, 34.08306884765625]"
44,"Santa Monica, CA 90403","[-118.48287, 34.0321]"
45,"Studio City, CA 91607","[-118.41329939455598, 34.15769542902923]"
46,"Los Angeles, CA 90028","[-118.3227156, 34.0981721]"
47,"Los Angeles, CA 90028","[-118.316553, 34.105551]"
48,"Los Angeles, CA 90026","[-118.2645875, 34.077074]"
49,"Sherman Oaks, CA 91403","[-118.46060657615094, 34.152662538918804]"
